F90,x,y,RA,DEC,F140,x1,y1,RA1,DEC1
0.7627137899,1,30,3.856797395,-39.11522414,3.066137314,1,30,3.856797395,-39.11522414
1.286675096,2,30,3.849064259,-39.11523129,2.55330658,2,30,3.849064259,-39.11523129
1.75830698,3,30,3.841331119,-39.11523793,2.927438021,3,30,3.841331119,-39.11523793
1.834948778,4,30,3.833597976,-39.11524406,3.635060549,4,30,3.833597976,-39.11524406
1.411720872,5,30,3.825864829,-39.11524968,4.300227165,5,30,3.825864829,-39.11524968
1.311173439,6,30,3.81813168,-39.11525479,3.102512598,6,30,3.81813168,-39.11525479
1.528924704,7,30,3.810398528,-39.11525939,2.494992018,7,30,3.810398528,-39.11525939
1.912483454,8,30,3.802665373,-39.11526348,2.300569057,8,30,3.802665373,-39.11526348
2.207440376,9,30,3.794932217,-39.11526705,2.326262474,9,30,3.794932217,-39.11526705
3.315990925,10,30,3.787199058,-39.11527012,2.60808301,10,30,3.787199058,-39.11527012
2.812160015,11,30,3.779465898,-39.11527267,2.679507732,11,30,3.779465898,-39.11527267
2.428482771,12,30,3.771732737,-39.11527472,2.747722149,12,30,3.771732737,-39.11527472
2.382841349,13,30,3.763999575,-39.11527625,2.904716253,13,30,3.763999575,-39.11527625
1.792717218,14,30,3.756266412,-39.11527727,3.330994129,14,30,3.756266412,-39.11527727
1.384517312,15,30,3.748533248,-39.11527778,3.173854828,15,30,3.748533248,-39.11527778
1.315755725,16,30,3.740800085,-39.11527778,3.018776894,16,30,3.740800085,-39.11527778
1.154677391,17,30,3.733066922,-39.11527727,2.693547964,17,30,3.733066922,-39.11527727
1.475350857,18,30,3.725333759,-39.11527625,2.729526043,18,30,3.725333759,-39.11527625
1.764732838,19,30,3.717600596,-39.11527472,2.702020407,19,30,3.717600596,-39.11527472
1.821839094,20,30,3.709867435,-39.11527267,2.63416934,20,30,3.709867435,-39.11527267
1.776723623,21,30,3.702134275,-39.11527012,2.512884617,21,30,3.702134275,-39.11527012
1.402439713,22,30,3.694401117,-39.11526705,2.496717215,22,30,3.694401117,-39.11526705
