F60,x,y,RA,DEC,F100,x1,y1,RA1,DEC1
0.6322436333,1,25,4.10635924,-38.96159493,1.75609839,1,25,4.10635924,-38.96159493
0.6462668777,2,25,4.080638768,-38.96165985,1.764143229,2,25,4.080638768,-38.96165985
0.7132177949,3,25,4.054918182,-38.96171913,1.685076714,3,25,4.054918182,-38.96171913
0.6403207183,4,25,4.029197493,-38.96177276,1.639123917,4,25,4.029197493,-38.96177276
0.6403207183,5,25,4.00347671,-38.96182075,1.639123917,5,25,4.00347671,-38.96182075
0.6399254799,6,25,3.977755844,-38.96186309,1.636973143,6,25,3.977755844,-38.96186309
0.6024610996,7,25,3.952034906,-38.96189978,1.62790215,7,25,3.952034906,-38.96189978
0.5813885927,8,25,3.926313906,-38.96193083,1.606830597,8,25,3.926313906,-38.96193083
0.5887711048,9,25,3.900592853,-38.96195624,1.635874033,9,25,3.900592853,-38.96195624
0.5887711048,10,25,3.87487176,-38.961976,1.635874033,10,25,3.87487176,-38.961976
0.6139163971,11,25,3.849150635,-38.96199011,1.635535598,11,25,3.849150635,-38.96199011
0.6042079329,12,25,3.823429489,-38.96199858,1.646208048,12,25,3.823429489,-38.96199858
0.5824065804,13,25,3.797708333,-38.9620014,1.609861851,13,25,3.797708333,-38.9620014
0.5557036996,14,25,3.771987177,-38.96199858,1.681000829,14,25,3.771987177,-38.96199858
0.5557036996,15,25,3.746266032,-38.96199011,1.681000829,15,25,3.746266032,-38.96199011
0.5591157079,16,25,3.720544907,-38.961976,1.682277441,16,25,3.720544907,-38.961976
0.5847796798,17,25,3.694823813,-38.96195624,1.723947167,17,25,3.694823813,-38.96195624
0.5955588222,18,25,3.669102761,-38.96193083,1.804985046,18,25,3.669102761,-38.96193083
0.6144908667,19,25,3.64338176,-38.96189978,1.939783573,19,25,3.64338176,-38.96189978
0.6144908667,20,25,3.617660822,-38.96186309,1.939783573,20,25,3.617660822,-38.96186309
0.6287017465,21,25,3.591939957,-38.96182075,1.987259507,21,25,3.591939957,-38.96182075
0.580752492,22,25,3.566219174,-38.96177276,1.874293923,22,25,3.566219174,-38.96177276
0.6242739558,23,25,3.540498484,-38.96171913,1.882428646,23,25,3.540498484,-38.96171913
0.6655299664,24,25,3.514777899,-38.96165985,1.876344085,24,25,3.514777899,-38.96165985
0.6655299664,25,25,3.489057427,-38.96159493,1.876344085,25,25,3.489057427,-38.96159493
0.6322436333,1,24,4.10644684,-38.98159431,1.75609839,1,24,4.10644684,-38.98159431
0.6462668777,2,24,4.080719069,-38.98165928,1.764143229,2,24,4.080719069,-38.98165928
0.7132177949,3,24,4.054991183,-38.9817186,1.685076714,3,24,4.054991183,-38.9817186
0.6403207183,4,24,4.029263194,-38.98177227,1.639123917,4,24,4.029263194,-38.98177227
0.6403207183,5,24,4.003535111,-38.98182029,1.639123917,5,24,4.003535111,-38.98182029
0.6399254799,6,24,3.977806946,-38.98186267,1.636973143,6,24,3.977806946,-38.98186267
0.6382781863,7,24,3.952078707,-38.98189939,1.704728842,7,24,3.952078707,-38.98189939
0.6218965054,8,24,3.926350407,-38.98193046,1.653798461,8,24,3.926350407,-38.98193046
0.6201803088,9,24,3.900622054,-38.98195588,1.640876651,9,24,3.900622054,-38.98195588
0.6201803088,10,24,3.87489366,-38.98197566,1.640876651,10,24,3.87489366,-38.98197566
0.6548568606,11,24,3.849165235,-38.98198978,1.652525187,11,24,3.849165235,-38.98198978
