F12,x,y,RA,DEC,F22,x1,y1,RA1,DEC1
425.1130066,1,30,3.806995837,-39.15392786,127.2192535,1,30,3.806995837,-39.15392786
424.0510254,2,30,3.802697277,-39.15393007,127.1897278,2,30,3.802697277,-39.15393007
423.813385,3,30,3.798398716,-39.15393212,127.1832581,3,30,3.798398716,-39.15393212
424.7999878,4,30,3.794100154,-39.15393401,127.265892,4,30,3.794100154,-39.15393401
424.5657959,5,30,3.789801592,-39.15393575,127.2230988,5,30,3.789801592,-39.15393575
424.7505493,6,30,3.785503029,-39.15393733,127.2542877,6,30,3.785503029,-39.15393733
424.6277466,7,30,3.781204466,-39.15393875,127.2659607,7,30,3.781204466,-39.15393875
424.4724731,8,30,3.776905902,-39.15394001,127.2057343,8,30,3.776905902,-39.15394001
424.5985718,9,30,3.772607338,-39.15394112,127.2397156,9,30,3.772607338,-39.15394112
424.4996948,10,30,3.768308774,-39.15394207,127.2365189,10,30,3.768308774,-39.15394207
425.3107605,11,30,3.764010209,-39.15394286,127.2854614,11,30,3.764010209,-39.15394286
424.0347595,12,30,3.759711644,-39.15394349,127.2779388,12,30,3.759711644,-39.15394349
424.2428894,13,30,3.755413079,-39.15394396,127.2171783,13,30,3.755413079,-39.15394396
425.5560608,14,30,3.751114514,-39.15394428,127.2214355,14,30,3.751114514,-39.15394428
424.5280151,15,30,3.746815949,-39.15394444,127.2689743,15,30,3.746815949,-39.15394444
424.9169006,16,30,3.742517384,-39.15394444,127.2774429,16,30,3.742517384,-39.15394444
424.914093,17,30,3.738218819,-39.15394428,127.2386246,17,30,3.738218819,-39.15394428
423.722168,18,30,3.733920254,-39.15394396,127.2428131,18,30,3.733920254,-39.15394396
424.1107483,19,30,3.729621689,-39.15394349,127.3179932,19,30,3.729621689,-39.15394349
424.4661865,20,30,3.725323124,-39.15394286,127.2572327,20,30,3.725323124,-39.15394286
424.7118225,21,30,3.72102456,-39.15394207,127.2333832,21,30,3.72102456,-39.15394207
424.586731,22,30,3.716725995,-39.15394112,127.2667923,22,30,3.716725995,-39.15394112
424.4315186,23,30,3.712427431,-39.15394001,127.2697678,23,30,3.712427431,-39.15394001
424.5441895,24,30,3.708128868,-39.15393875,127.1950226,24,30,3.708128868,-39.15393875
424.9717102,25,30,3.703830304,-39.15393733,127.226059,25,30,3.703830304,-39.15393733
424.7368469,26,30,3.699531742,-39.15393575,127.2266922,26,30,3.699531742,-39.15393575
425.1211853,27,30,3.695233179,-39.15393401,127.2571106,27,30,3.695233179,-39.15393401
424.4479065,28,30,3.690934618,-39.15393212,127.2735443,28,30,3.690934618,-39.15393212
424.9404297,29,30,3.686636057,-39.15393007,127.2845917,29,30,3.686636057,-39.15393007
424.2633972,30,30,3.682337496,-39.15392786,127.2268066,30,30,3.682337496,-39.15392786
425.7145691,1,29,3.806998793,-39.15726119,127.2575531,1,29,3.806998793,-39.15726119
423.8819275,2,29,3.802700029,-39.1572634,127.1894989,2,29,3.802700029,-39.1572634
424.2415161,3,29,3.798401264,-39.15726545,127.1642456,3,29,3.798401264,-39.15726545
424.8746948,4,29,3.794102498,-39.15726734,127.2226257,4,29,3.794102498,-39.15726734
423.9822693,5,29,3.789803732,-39.15726908,127.2843552,5,29,3.789803732,-39.15726908
424.1668091,6,29,3.785504965,-39.15727066,127.1984329,6,29,3.785504965,-39.15727066
424.7105408,7,29,3.781206198,-39.15727208,127.2039566,7,29,3.781206198,-39.15727208
424.1387634,8,29,3.776907431,-39.15727335,127.2013931,8,29,3.776907431,-39.15727335
424.0484009,9,29,3.772608663,-39.15727445,127.1973801,9,29,3.772608663,-39.15727445
424.0318909,10,29,3.768309895,-39.1572754,127.168869,10,29,3.768309895,-39.1572754
