MAIN_ID,ANG_DIST,OTYPE,RA,,,,DEC,,,,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,RA_d,DEC_d,PMRA,PMDEC,PMRA_PREC,PMDEC_PREC,PM_ERR_MAJA,PM_ERR_MINA,PM_ERR_ANGLE,PM_QUAL,PM_BIBCODE,FILTER_NAME_B,FLUX_B,FLUX_ERROR_B,FLUX_SYSTEM_B,FLUX_BIBCODE_B,FLUX_VAR_B,FLUX_MULT_B,FLUX_QUAL_B,FLUX_UNIT_B,FILTER_NAME_V,FLUX_V,FLUX_ERROR_V,FLUX_SYSTEM_V,FLUX_BIBCODE_V,FLUX_VAR_V,FLUX_MULT_V,FLUX_QUAL_V,FLUX_UNIT_V,FILTER_NAME_R,FLUX_R,FLUX_ERROR_R,FLUX_SYSTEM_R,FLUX_BIBCODE_R,FLUX_VAR_R,FLUX_MULT_R,FLUX_QUAL_R,FLUX_UNIT_R,FILTER_NAME_J,FLUX_J,FLUX_ERROR_J,FLUX_SYSTEM_J,FLUX_BIBCODE_J,FLUX_VAR_J,FLUX_MULT_J,FLUX_QUAL_J,FLUX_UNIT_J,FILTER_NAME_H,FLUX_H,FLUX_ERROR_H,FLUX_SYSTEM_H,FLUX_BIBCODE_H,FLUX_VAR_H,FLUX_MULT_H,FLUX_QUAL_H,FLUX_UNIT_H,FILTER_NAME_K,FLUX_K,FLUX_ERROR_K,FLUX_SYSTEM_K,FLUX_BIBCODE_K,FLUX_VAR_K,FLUX_MULT_K,FLUX_QUAL_K,FLUX_UNIT_K,RVZ_TYPE,RVZ_RADVEL,RVZ_ERROR,RVZ_QUAL,RVZ_WAVELENGTH,RVZ_BIBCODE,SP_TYPE,SP_QUAL,SP_BIBCODE,MORPH_TYPE,MORPH_QUAL,MORPH_BIBCODE,GALDIM_MAJAXIS,GALDIM_MINAXIS,GALDIM_ANGLE,GALDIM_QUAL,GALDIM_WAVELENGTH,GALDIM_BIBCODE,BIBLIST
[CHG2008] B-12,13.39,Star,3.8195,0,15,16.68,-38.776,-39,13,26.4,6,6,,,,D,O,2008A&A...485...41C,3.8195,-39.224,,,,,,,,,,,,,,,,,,,V,19.108,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,176,,D,O,2008A&A...485...41C,Of/WN,D,2008A&A...485...41C,,,,,,,,,,1
[CHG2008] B-13,16.28,Star,3.827625,0,15,18.63,-38.77980556,-39,13,12.7,6,6,,,,D,O,2008A&A...485...41C,3.82763,-39.22019,,,,,,,,,,,,,,,,,,,V,18.543,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,274,,D,O,2008A&A...485...41C,WN11,D,2008A&A...485...41C,,,,,,,,,,1
[PGS2006] cep116,16.68,Cepheid,3.817833333,0,15,16.28,-38.77580556,-39,13,27.1,6,6,,,,D,O,2006AJ....132.2556P,3.81783,-39.22419,,,,,,,,,,,,,,,,,,,V,22.168,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[CHG2008] C2-55,25.24,Star,3.816458333,0,15,15.95,-38.78488889,-39,12,54.4,6,6,,,,D,O,2008A&A...485...41C,3.81646,-39.21511,,,,,,,,,,,,,,,,,,,V,19.185,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,228,,D,O,2008A&A...485...41C,B5I,D,2008A&A...485...41C,,,,,,,,,,1
[CHG2008] C1-52,28.72,Star,3.811625,0,15,14.79,-38.78030556,-39,13,10.9,6,6,,,,D,O,2008A&A...485...41C,3.81162,-39.21969,,,,,,,,,,,,,,,,,,,V,18.542,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,149,,D,O,2008A&A...485...41C,A2I,D,2008A&A...485...41C,,,,,,,,,,2
[PGS2006] cep055,29.16,Cepheid,3.819041667,0,15,16.57,-38.78705556,-39,12,46.6,6,6,,,,D,I,2008ApJ...672..266G,3.81904,-39.21294,,,,,,,,,,,,,,,,,,,V,21.761,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,J,19.722,0.042,Vega,2008ApJ...672..266G,V,,D,J,,,,,,,,,,K,19.008,0.043,Vega,2008ApJ...672..266G,V,,D,K,,,,,,,,,,,,,,,,,,,2
[CHG2008] B-11,29.18,Star,3.81975,0,15,16.74,-38.78719444,-39,12,46.1,6,6,,,,D,O,2008A&A...485...41C,3.81975,-39.21281,,,,,,,,,,,,,,,,,,,V,19.001,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,155,,D,O,2008A&A...485...41C,B1I,D,2008A&A...485...41C,,,,,,,,,,1
[PGS2006] cep133,31.19,Cepheid,3.810833333,0,15,14.6,-38.77769444,-39,13,20.3,6,6,,,,D,O,2006AJ....132.2556P,3.81083,-39.22231,,,,,,,,,,,,,,,,,,,V,22.032,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
[CHG2008] B-9,31.94,Star,3.811083333,0,15,14.66,-38.78230556,-39,13,3.7,6,6,,,,D,O,2008A&A...485...41C,3.81108,-39.21769,,,,,,,,,,,,,,,,,,,V,19.416,,Vega,2008A&A...485...41C,,,D,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,223,,D,O,2008A&A...485...41C,B5I,D,2008A&A...485...41C,,,,,,,,,,1
[PGS2006] cep004,34.5,Cepheid,3.8095,0,15,14.28,-38.7785,-39,13,17.4,6,6,,,,D,I,2008ApJ...672..266G,3.8095,-39.2215,,,,,,,,,,,,,,,,,,,V,20.536,,Vega,2006AJ....132.2556P,,,D,V,,,,,,,,,,J,19.572,0.041,Vega,2008ApJ...672..266G,V,,D,J,,,,,,,,,,K,18.227,0.042,Vega,2008ApJ...672..266G,V,,D,K,,,,,,,,,,,,,,,,,,,3
